# vector	codigo   (congelado - SPEC.md §7)
r01_null.json	E_NULL
r02_float.json	E_FLOAT
r03_float_exponent.json	E_FLOAT
r04_dup_key.json	E_DUP_KEY
r05_key_charset.json	E_KEY_CHARSET
r06_string_charset_nfc.json	E_STRING_CHARSET
r07_string_charset_nfd.json	E_STRING_CHARSET
r08_int_leading_zero.json	E_INT_FORMAT
r09_negative_zero.json	E_INT_FORMAT
r10_decimal_trailing_zero.json	E_DECIMAL_FORMAT
r11_decimal_range.json	E_DECIMAL_RANGE
r12_empty_array.json	E_EMPTY_ARRAY
r13_unknown_field.json	E_UNKNOWN_FIELD
r14_missing_field.json	E_MISSING_FIELD
r15_metrics_unsorted.json	E_NOT_SORTED
r16_metrics_duplicate.json	E_NOT_SORTED
r17_constraint_age.json	E_CONSTRAINT
r18_constraint_dates.json	E_CONSTRAINT
r19_enum_class.json	E_ENUM
r20_type.json	E_TYPE
r21_not_object.json	E_NOT_OBJECT
r22_syntax_trailing_comma.json	E_SYNTAX
r23_int_range.json	E_INT_RANGE
r24_string_format_sha.json	E_STRING_FORMAT
r25_depth.json	E_DEPTH
r26_union_wrong_key.json	E_UNKNOWN_FIELD
r27_bom.json	E_SYNTAX
r28_trailing_garbage.json	E_SYNTAX
r29_int_over_i64.json	E_INT_RANGE
r30_grid_unsorted_int.json	E_NOT_SORTED
r31_grid_duplicate_int.json	E_NOT_SORTED
r32_grid_unsorted_decimal.json	E_NOT_SORTED
r33_grid_scalar.json	E_TYPE
r34_constraint_split_days.json	E_CONSTRAINT
r35_constraint_dev.json	E_CONSTRAINT
